created_at,username,text,likes,retweets,hashtags
Thu Nov 07 17:22:27 +0000 2019,alferdez,"Quiero agradecerle especialmente al presidente del Banco Interamericano de Desarrollo, @MorenoBID, por su apoyo y su predisposición para adecuar los desembolsos de la entidad a las prioridades que tendrá nuestra administración. https://t.co/FSEAEudmU5",5344,1264,[]
Thu Nov 07 02:51:35 +0000 2019,alferdez,"Aunque @marquitospena y sus inefables funcionarios escriban absurdos informes y presenten una Argentina que no existe, cada día que pasa la realidad descubre sus mentiras.   Este es el país que nos dejan. https://t.co/odzMOqHHhe",16397,6403,[]
Thu Nov 07 01:48:00 +0000 2019,alferdez,"Agradezco a @markrutte, primer ministro de los Países Bajos, por su carta y sus buenos deseos para la Argentina. Espero que podamos conocernos pronto y afianzar el vínculo entre nuestras naciones. https://t.co/1N55lteOdx",5006,1020,[]
Wed Nov 06 23:08:37 +0000 2019,alferdez,Visité las oficinas de la empresa argentina @Globant en Ciudad de México y conversé por videoconferencia con 14 sedes que la firma tiene en el mundo.   Tienen mi compromiso de que voy a seguir apoyando a las empresas nacionales y a la industria del software. https://t.co/91MOb02ObZ,4921,1027,[]
Wed Nov 06 21:48:01 +0000 2019,alferdez,Gracias @Globant por seguir confiando en Argentina. Un modelo empresarial que nos enorgullece. https://t.co/o1P0FoGtY5,5605,1242,[]
Wed Nov 06 21:43:55 +0000 2019,alferdez,"RT @ActualidadRT: PRONTO en RT |  El presidente electo de Argentina, Alberto Fernández (@alferdez), estará en una nueva edición de #Convers…",0,562,[]
Wed Nov 06 13:58:56 +0000 2019,alferdez,@aliciabarcena Gracias @aliciabarcena por tu generosidad de siempre. Vamos a trabajar con mucho esfuerzo para tener una región más igualitaria y reconstruir la unidad que nunca debimos haber perdido.,49,11,[]
Wed Nov 06 13:38:48 +0000 2019,alferdez,"Un placer haber podido reencontrarme con @MashiRafael, expresidente de Ecuador. Juntos compartimos una visión común sobre los desafíos que tiene nuestro continente por delante. Gracias, Rafael, por tu calidez de siempre. https://t.co/aukcv14HIV",18722,5399,[]
Wed Nov 06 00:24:37 +0000 2019,alferdez,EN VIVO | Desde México - Conferencia Magistral en la UNAM. https://t.co/2Com2QHNDs,8251,3034,[]
Tue Nov 05 13:42:57 +0000 2019,alferdez,Ayer me reuní con Carlos Slim y otros empresarios mexicanos que tienen inversiones en Argentina. Les anticipé la situación crítica que deja el macrismo y nuestra decisión de revertir ese cuadro.   Todos me expresaron su confianza y su compromiso de seguir invirtiendo en el país. https://t.co/xIt1IVIyfI,13942,2729,[]
Tue Nov 05 05:31:14 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @PedroBriegerOk @C5N 📺 ""Para resolver el problema de la deuda necesitamos crecer, producir, exportar y así co…",0,458,[]
Tue Nov 05 05:31:05 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @PedroBriegerOk @C5N 📺 ""Tenemos que entender lo que han hecho en el gobierno de Macri. Aunque queden 10 minut…",0,689,[]
Tue Nov 05 05:30:53 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @PedroBriegerOk @C5N 📺 ""La Argentina no tiene más espacio para el ajuste. El ajuste ha hecho que nuestros chi…",0,502,[]
